vehID FromStopID ToStopID Uhrzeit(Ist) Uhrzeit(Soll) Delay Drive_Continue
65 64 13 574 549 25 yes
72 44 44 574 554 20 yes
50 33 18 575 550 25 yes
16 6 163 575 540 35 no
48 6 3 575 550 25 yes
40 9 4 576 561 15 yes
55 28 27 577 542 35 yes
83 58 4 577 537 40 yes
90 66 66 577 567 10 yes
49 52 32 578 553 25 yes
10 113 16 578 543 35 yes
2 60 78 579 559 20 yes
42 16 33 579 559 20 yes
31 20 20 579 544 35 yes
81 29 29 579 549 30 yes
59 31 160 580 565 15 no
91 109 109 580 565 15 yes
68 156 22 580 555 25 yes
79 43 32 580 565 15 yes
6 9 4 581 561 20 yes
29 9 73 581 561 20 yes
52 66 1 581 571 10 yes
76 2 63 583 568 15 yes
82 9 9 583 568 15 yes
94 1 31 583 578 5 yes
39 3 4 584 549 35 yes
93 169 126 584 584 0 yes
32 4 166 585 535 50 no
70 6 6 585 570 15 yes
36 75 75 586 561 25 yes
66 4 4 586 566 20 yes
3 89 16 586 561 25 yes
51 30 6 588 573 15 yes
90 66 19 588 578 10 yes
11 55 4 589 564 25 yes
38 6 45 590 540 50 yes
27 4 12 590 560 30 yes
22 116 9 590 555 35 yes
33 51 51 591 556 35 yes
17 49 32 592 562 30 yes
67 1 31 593 573 20 yes
62 2 2 595 575 20 yes
40 4 12 595 580 15 yes
58 1 87 597 577 20 yes
93 126 115 597 597 0 yes
18 4 4 598 568 30 yes
35 62 108 598 563 35 yes
92 6 6 600 575 25 yes
65 13 14 600 575 25 yes
42 33 118 600 580 20 yes
21 24 24 601 556 45 yes
89 30 78 603 573 30 yes
85 37 38 604 579 25 yes
74 0 1 604 584 20 yes
51 6 6 604 589 15 yes
7 61 78 605 570 35 yes
64 150 9 605 575 30 yes
15 6 90 605 560 45 yes
80 6 6 605 600 5 yes
63 4 6 605 575 30 yes
6 4 15 605 585 20 yes
70 6 90 605 590 15 yes
76 63 63 606 586 20 yes
93 115 126 606 606 0 yes
20 73 73 607 572 35 yes
19 27 28 609 589 20 yes
5 6 6 610 575 35 yes
4 6 29 610 575 35 yes
81 29 30 610 570 40 yes
91 109 0 610 595 15 yes
86 56 164 611 591 20 no
73 16 4 613 583 30 yes
84 1 163 614 589 25 no
48 3 3 614 589 25 yes
82 9 47 614 599 15 yes
36 75 4 614 579 35 yes
71 82 104 615 595 20 yes
80 6 100 615 610 5 yes
93 126 126 616 616 0 yes
31 20 21 617 572 45 yes
72 44 29 618 598 20 yes
79 32 32 618 598 20 yes
1 40 102 620 585 35 yes
51 6 91 620 595 25 yes
87 48 30 621 596 25 yes
94 31 10 621 616 5 yes
58 87 87 622 602 20 yes
56 1 25 623 598 25 yes
49 32 32 623 598 25 yes
29 73 73 624 604 20 yes
88 51 51 625 605 20 yes
40 12 160 625 600 25 no
13 31 10 626 591 35 yes
76 63 2 628 608 20 yes
68 22 22 629 604 25 yes
33 51 56 630 595 35 yes
92 6 3 630 605 25 yes
85 38 38 630 605 25 yes
23 46 46 631 596 35 yes
39 4 4 632 597 35 yes
8 166 73 633 633 0 yes
35 108 108 634 599 35 yes
27 12 67 635 605 30 yes
18 4 6 635 605 30 yes
63 6 6 635 595 40 yes
60 9 168 636 616 20 no
70 90 90 638 618 20 yes
80 100 7 639 629 10 yes
93 126 115 639 639 0 yes
30 9 47 640 595 45 yes
66 4 26 640 620 20 yes
90 19 73 641 631 10 yes
7 78 78 641 606 35 yes
8 73 82 641 641 0 yes
62 2 2 643 613 30 yes
10 16 1 644 604 40 yes
3 16 168 644 619 25 no
48 3 4 644 619 25 yes
83 4 9 645 605 40 yes
4 29 29 645 610 35 yes
58 87 87 645 625 20 yes
17 32 32 646 616 30 yes
67 31 10 646 626 20 yes
71 104 104 646 626 20 yes
79 32 43 646 626 20 yes
29 73 82 646 616 30 yes
50 18 18 647 622 25 yes
52 1 163 647 637 10 no
21 24 4 647 602 45 yes
73 4 4 647 607 40 yes
56 25 25 648 623 25 yes
93 115 169 648 638 10 no
55 27 27 649 604 45 yes
42 118 167 650 630 20 no
5 6 55 650 610 40 yes
87 30 4 650 615 35 yes
88 51 56 650 630 20 yes
80 7 7 650 635 15 yes
20 73 100 651 611 40 yes
82 47 151 651 631 20 yes
90 73 9 651 641 10 yes
65 14 14 653 628 25 yes
12 82 66 655 620 35 yes
11 4 6 655 630 25 yes
1 102 102 655 620 35 yes
64 9 1 656 626 30 yes
76 2 2 656 636 20 yes
74 1 47 658 638 20 yes
2 78 78 659 639 20 yes
38 45 45 659 599 60 yes
68 22 0 660 635 25 yes
85 38 31 660 625 35 yes
89 78 78 661 631 30 yes
91 0 46 661 646 15 yes
70 90 19 663 638 25 yes
6 15 74 665 645 20 yes
27 67 67 665 630 35 yes
25 162 49 666 656 10 yes
72 29 29 667 637 30 yes
28 61 24 668 638 30 yes
15 90 90 668 623 45 yes
49 32 82 668 643 25 yes
22 9 4 669 624 45 yes
92 3 3 669 644 25 yes
23 46 29 670 625 45 yes
39 4 35 670 635 35 yes
94 10 10 671 666 5 yes
82 151 47 671 641 30 yes
51 91 58 672 637 35 yes
19 28 162 673 653 20 no
31 21 111 674 629 45 yes
36 4 6 675 630 45 yes
71 104 69 675 645 30 yes
56 25 15 675 645 30 yes
17 32 82 677 647 30 yes
81 30 4 678 638 40 yes
50 18 16 678 643 35 yes
76 2 74 678 658 20 yes
35 108 15 679 639 40 yes
63 6 42 680 640 40 yes
58 87 42 680 655 25 yes
65 14 64 680 655 25 yes
11 6 6 680 650 30 yes
2 78 107 680 660 20 yes
7 78 60 681 641 40 yes
48 4 6 682 657 25 yes
25 49 32 682 672 10 yes
10 1 1 684 639 45 yes
18 6 29 685 650 35 yes
8 82 66 685 685 0 yes
4 29 135 685 640 45 yes
8 66 66 685 685 0 yes
33 56 56 686 646 40 yes
87 4 6 686 646 40 yes
66 26 113 687 667 20 yes
64 1 1 687 657 30 yes
8 66 19 688 688 0 yes
91 46 46 689 664 25 yes
83 9 9 690 650 40 yes
79 43 43 690 665 25 yes
12 66 66 690 655 35 yes
88 56 164 691 671 20 no
89 78 60 692 652 40 yes
37 161 74 693 693 0 yes
37 74 2 695 695 0 yes
92 3 4 699 664 35 yes
73 4 6 700 655 45 yes
68 0 1 700 675 25 yes
72 29 4 700 670 30 yes
82 47 48 701 661 40 yes
6 74 74 703 673 30 yes
94 10 0 703 688 15 yes
30 47 47 705 650 55 yes
27 67 6 705 670 35 yes
13 10 96 706 671 35 yes
90 9 9 706 686 20 yes
70 19 73 706 681 25 yes
51 58 58 707 672 35 yes
48 6 6 707 677 30 yes
66 113 113 707 687 20 yes
2 107 78 708 688 20 yes
80 7 4 709 694 15 yes
20 100 49 709 664 45 yes
74 47 47 710 690 20 yes
28 24 24 710 680 30 yes
62 2 2 711 681 30 yes
67 10 96 711 691 20 yes
1 102 39 713 668 45 yes
58 42 42 715 685 30 yes
11 6 100 715 685 30 yes
91 46 29 715 690 25 yes
25 32 32 716 706 10 yes
15 90 19 718 673 45 yes
22 4 4 718 673 45 yes
31 111 111 719 664 55 yes
81 4 4 719 679 40 yes
29 82 162 720 690 30 no
21 4 1 720 675 45 yes
36 6 6 720 670 50 yes
18 29 29 720 680 40 yes
