vehID Teilumlaufnummer Standort Dep/Arr Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
42 1 89 1 428 448 5 20
42 1 89 2 428 448 / 20
35 1 15 2 427 448 0 21
35 1 15 0 427 448 / 21
42 1 89 2 446 448 0 2
42 1 89 0 446 448 / 2
21 1 4 1 415 449 5 34
21 1 4 0 415 449 / 34
64 1 6 1 434 449 5 15
64 1 6 0 434 449 / 15
31 1 20 1 444 449 5 5
31 1 20 2 444 449 / 5
11 1 55 1 401 449 5 48
11 1 55 2 401 449 / 48
31 1 20 2 447 449 0 2
31 1 20 0 447 449 / 2
11 1 55 2 404 449 0 45
11 1 55 0 404 449 / 45
88 1 164 0 450 450 / 0
32 1 58 1 427 450 5 23
32 1 58 2 427 450 / 23
36 1 35 1 417 450 10 33
36 1 35 0 417 450 / 33
