vehID Standort Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
22 16 473 473 0 0
22 16 473 473 0 0
6 9 446 473 10 27
6 9 446 473 0 27
65 14 438 473 5 35
65 14 438 473 0 35
32 4 460 473 0 13
32 4 460 473 0 13
79 32 471 473 0 2
79 32 471 473 0 2
65 14 440 473 0 33
65 14 440 473 0 33
90 164 474 474 0 0
4 4 460 474 10 14
4 4 460 474 0 14
52 27 474 474 0 0
52 27 474 474 0 0
16 1 475 475 0 0
16 1 475 475 0 0
21 24 446 475 0 29
21 24 446 475 0 29
89 4 465 475 10 10
89 4 465 475 0 10
83 6 465 475 5 10
83 6 465 475 0 10
21 24 447 475 0 28
21 24 447 475 0 28
71 9 447 476 10 29
71 9 447 476 0 29
30 9 455 476 0 21
30 9 455 476 0 21
44 32 456 476 5 20
44 32 456 476 0 20
44 32 457 476 0 19
44 32 457 476 0 19
1 102 430 477 10 47
1 102 430 477 0 47
79 32 477 477 0 0
79 32 477 477 0 0
71 1 448 477 0 29
71 1 448 477 0 29
