vehID Standort Dep/Arr Uhrzeit(Ist) Status(Depot/Umlauf)
13 1 0 442 1
13 1 1 443 1
13 1 0 443 1
28 60 1 444 1
28 60 0 444 1
29 36 1 444 1
29 36 0 444 1
31 20 1 444 1
31 20 0 444 1
26 29 1 445 1
26 29 0 445 1
80 6 1 445 1
80 6 0 445 1
60 82 1 445 1
60 82 0 445 1
11 4 1 445 1
11 4 0 445 1
49 51 1 445 1
49 51 0 445 1
70 4 1 445 1
70 4 0 445 1
36 6 1 445 1
36 6 0 445 1
72 4 1 445 1
72 4 0 445 1
79 43 1 445 1
79 43 0 445 1
51 46 1 445 1
51 46 0 445 1
10 25 1 445 1
10 25 0 445 1
60 66 1 445 1
60 66 0 445 1
11 6 1 445 1
11 6 0 445 1
70 6 1 445 1
70 6 0 445 1
6 9 1 446 1
6 9 0 446 1
21 24 1 446 1
21 24 0 446 1
40 23 1 446 1
40 23 0 446 1
42 89 1 446 1
42 89 0 446 1
33 51 1 446 1
33 51 0 446 1
24 160 1 446 0
64 149 1 446 1
64 149 0 446 1
62 63 1 446 1
62 63 0 446 1
72 29 1 446 1
72 29 0 446 1
71 9 1 447 1
71 9 0 447 1
48 4 1 447 1
48 4 0 447 1
66 35 1 447 1
66 35 0 447 1
68 9 1 447 1
68 9 0 447 1
31 20 1 447 1
31 20 0 447 1
21 24 1 447 1
21 24 0 447 1
35 62 1 448 1
35 62 0 448 1
81 77 1 448 1
81 77 0 448 1
49 51 1 448 1
49 51 0 448 1
60 66 1 448 1
60 66 0 448 1
62 63 1 448 1
62 63 0 448 1
71 1 1 448 1
71 1 0 448 1
3 16 1 449 1
3 16 0 449 1
54 16 1 449 1
54 16 0 449 1
85 132 1 449 1
85 132 0 449 1
41 166 1 449 0
28 60 1 449 1
28 60 0 449 1
35 108 1 449 1
35 108 0 449 1
88 164 0 450 1
46 118 1 450 1
46 118 0 450 1
27 65 1 450 1
27 65 0 450 1
23 33 1 450 1
23 33 0 450 1
76 4 1 450 1
76 4 0 450 1
18 29 1 450 1
18 29 0 450 1
80 6 1 450 1
80 6 0 450 1
36 6 1 450 1
36 6 0 450 1
79 43 1 450 1
79 43 0 450 1
11 6 1 450 1
11 6 0 450 1
6 4 1 450 1
6 4 0 450 1
33 51 1 450 1
33 51 0 450 1
72 29 1 450 1
72 29 0 450 1
48 4 1 450 1
48 4 0 450 1
81 77 1 450 1
81 77 0 450 1
3 88 1 450 1
3 88 0 450 1
82 10 1 452 1
82 10 0 452 1
20 73 1 452 1
20 73 0 452 1
46 167 1 452 0
82 96 1 452 1
82 96 0 452 1
89 168 0 453 1
37 76 1 453 1
37 76 0 453 1
1 102 1 453 1
1 102 0 453 1
56 10 1 453 1
56 10 0 453 1
34 169 1 453 0
73 68 1 453 1
73 68 0 453 1
59 92 1 454 1
59 92 0 454 1
40 23 1 454 1
40 23 0 454 1
30 9 1 455 1
30 9 0 455 1
68 9 1 455 1
68 9 0 455 1
88 60 1 455 1
88 60 0 455 1
2 60 1 456 1
2 60 0 456 1
44 32 1 456 1
44 32 0 456 1
62 2 1 456 1
62 2 0 456 1
39 1 1 457 1
39 1 0 457 1
44 32 1 457 1
44 32 0 457 1
17 28 1 458 1
17 28 0 458 1
25 69 1 458 1
25 69 0 458 1
62 2 1 458 1
62 2 0 458 1
70 3 1 459 1
70 3 0 459 1
31 21 1 459 1
31 21 0 459 1
35 108 1 459 1
35 108 0 459 1
31 111 1 459 1
31 111 0 459 1
12 82 1 460 1
12 82 0 460 1
83 33 1 460 1
83 33 0 460 1
4 4 1 460 1
4 4 0 460 1
67 89 1 460 1
67 89 0 460 1
32 4 1 460 1
32 4 0 460 1
87 44 1 460 1
87 44 0 460 1
38 29 1 460 1
38 29 0 460 1
26 163 1 460 0
3 88 1 460 1
3 88 0 460 1
12 66 1 460 1
12 66 0 460 1
54 163 1 461 0
20 73 1 461 1
20 73 0 461 1
38 6 1 461 1
38 6 0 461 1
12 66 1 461 1
12 66 0 461 1
50 18 1 462 1
50 18 0 462 1
63 91 1 462 1
63 91 0 462 1
27 65 1 462 1
27 65 0 462 1
17 49 1 462 1
17 49 0 462 1
63 58 1 462 1
63 58 0 462 1
39 3 1 463 1
39 3 0 463 1
47 46 1 464 1
47 46 0 464 1
64 150 1 464 1
64 150 0 464 1
71 1 1 464 1
71 1 0 464 1
81 6 1 464 1
81 6 0 464 1
39 3 1 464 1
39 3 0 464 1
81 29 1 464 1
81 29 0 464 1
53 148 1 465 1
53 148 0 465 1
52 59 1 465 1
52 59 0 465 1
76 12 1 465 1
76 12 0 465 1
89 4 1 465 1
89 4 0 465 1
83 6 1 465 1
83 6 0 465 1
4 33 1 465 1
4 33 0 465 1
38 6 1 465 1
38 6 0 465 1
81 29 1 465 1
81 29 0 465 1
43 160 1 466 0
37 161 1 466 0
25 162 1 466 0
67 89 1 466 1
67 89 0 466 1
82 96 1 467 1
82 96 0 467 1
63 58 1 467 1
63 58 0 467 1
75 19 1 468 1
75 19 0 468 1
50 18 1 468 1
50 18 0 468 1
47 160 1 468 0
65 64 1 469 1
65 64 0 469 1
11 100 1 469 1
11 100 0 469 1
70 7 1 469 1
70 7 0 469 1
85 133 1 470 1
85 133 0 470 1
80 4 1 470 1
80 4 0 470 1
48 6 1 470 1
48 6 0 470 1
73 68 1 470 1
73 68 0 470 1
65 13 1 470 1
65 13 0 470 1
79 32 1 471 1
79 32 0 471 1
33 56 1 471 1
33 56 0 471 1
29 36 1 472 1
29 36 0 472 1
18 4 1 472 1
18 4 0 472 1
22 16 1 473 1
22 16 0 473 1
84 10 1 473 1
84 10 0 473 1
86 86 1 473 1
86 86 0 473 1
31 111 1 473 1
31 111 0 473 1
76 2 1 473 1
76 2 0 473 1
18 29 1 473 1
18 29 0 473 1
22 1 1 473 1
22 1 0 473 1
84 96 1 473 1
84 96 0 473 1
90 164 0 474 1
55 27 1 474 1
55 27 0 474 1
52 27 1 474 1
52 27 0 474 1
16 1 1 475 1
16 1 0 475 1
5 6 1 475 1
5 6 0 475 1
66 6 1 475 1
66 6 0 475 1
21 4 1 475 1
21 4 0 475 1
30 47 1 475 1
30 47 0 475 1
68 156 1 475 1
68 156 0 475 1
4 33 1 475 1
4 33 0 475 1
80 88 1 475 1
80 88 0 475 1
48 6 1 475 1
48 6 0 475 1
15 9 1 476 1
15 9 0 476 1
13 31 1 476 1
13 31 0 476 1
36 75 1 476 1
36 75 0 476 1
75 166 1 476 0
66 4 1 476 1
66 4 0 476 1
10 26 1 477 1
10 26 0 477 1
39 4 1 477 1
39 4 0 477 1
79 32 1 477 1
79 32 0 477 1
10 113 1 477 1
10 113 0 477 1
58 61 1 478 1
58 61 0 478 1
61 61 1 478 1
61 61 0 478 1
1 39 1 478 1
1 39 0 478 1
15 9 1 478 1
15 9 0 478 1
10 113 1 478 1
10 113 0 478 1
42 16 1 479 1
42 16 0 479 1
32 166 1 479 0
20 100 1 479 1
20 100 0 479 1
90 60 1 479 1
90 60 0 479 1
16 4 1 479 1
16 4 0 479 1
36 75 1 479 1
36 75 0 479 1
7 61 1 480 1
7 61 0 480 1
18 29 1 480 1
18 29 0 480 1
5 6 1 480 1
5 6 0 480 1
21 1 1 480 1
21 1 0 480 1
39 4 1 480 1
39 4 0 480 1
42 33 1 480 1
42 33 0 480 1
16 4 1 480 1
16 4 0 480 1
30 47 1 481 1
30 47 0 481 1
7 78 1 481 1
7 78 0 481 1
